Field,Type,Calculated,Description,Reference
id,integer,,Airbnb's unique identifier for the listing,
listing_url,text,y,,
scrape_id,bigint,y,"Inside Airbnb ""Scrape"" this was part of",
last_scraped,datetime,y,"UTC. The date and time this listing was ""scraped"".",
source,text,,"One of ""neighbourhood search"" or ""previous scrape"". ""neighbourhood search"" means that the listing was found by searching the city, while ""previous scrape"" means that the listing was seen in another scrape performed in the last 65 days, and the listing was confirmed to be still available on the Airbnb site.",
name,text,,Name of the listing,
description,text,,Detailed description of the listing,
neighborhood_overview,text,,Host's description of the neighbourhood,
picture_url,text,,URL to the Airbnb hosted regular sized image for the listing,
host_id,integer,,Airbnb's unique identifier for the host/user,
host_url,text,y,The Airbnb page for the host,
host_name,text,,Name of the host. Usually just the first name(s).,
host_since,date,,The date the host/user was created. For hosts that are Airbnb guests this could be the date they registered as a guest.,
host_location,text,,The host's self reported location,
host_about,text,,Description about the host,
host_response_time,,,,
host_response_rate,,,,
host_acceptance_rate,,,That rate at which a host accepts booking requests.,
host_is_superhost,boolean [t=true; f=false],,,
host_thumbnail_url,text,,,
host_picture_url,text,,,
host_neighbourhood,text,,,
host_listings_count,text,,The number of listings the host has (per Airbnb unknown calculations),
host_total_listings_count,text,,The number of listings the host has (per Airbnb unknown calculations),
host_verifications,,,,
host_has_profile_pic,boolean [t=true; f=false],,,
host_identity_verified,boolean [t=true; f=false],,,
neighbourhood,text,,,
neighbourhood_cleansed,text,y,The neighbourhood as geocoded using the latitude and longitude against neighborhoods as defined by open or public digital shapefiles.,
neighbourhood_group_cleansed,text,y,The neighbourhood group as geocoded using the latitude and longitude against neighborhoods as defined by open or public digital shapefiles.,
latitude,numeric,,Uses the World Geodetic System (WGS84) projection for latitude and longitude.,
longitude,numeric,,Uses the World Geodetic System (WGS84) projection for latitude and longitude.,
property_type,text,,Self selected property type. Hotels and Bed and Breakfasts are described as such by their hosts in this field,
room_type,text,,"[Entire home/apt|Private room|Shared room|Hotel]

All homes are grouped into the following three room types:

Entire place
Private room
Shared room
Entire place
Entire places are best if you're seeking a home away from home. With an entire place, you'll have the whole space to yourself. This usually includes a bedroom, a bathroom, a kitchen, and a separate, dedicated entrance. Hosts should note in the description if they'll be on the property or not (ex: ""Host occupies first floor of the home""), and provide further details on the listing.

Private rooms
Private rooms are great for when you prefer a little privacy, and still value a local connection. When you book a private room, you'll have your own private room for sleeping and may share some spaces with others. You might need to walk through indoor spaces that another host or guest may occupy to get to your room.

Shared rooms
Shared rooms are for when you don't mind sharing a space with others. When you book a shared room, you'll be sleeping in a space that is shared with others and share the entire space with other people. Shared rooms are popular among flexible travelers looking for new friends and budget-friendly stays.",https://www.airbnb.com/help/article/5/what-does-the-room-type-of-a-listing-mean
accommodates,integer,,The maximum capacity of the listing,
bathrooms,numeric,,The number of bathrooms in the listing,
bathrooms_text,string,,"The number of bathrooms in the listing. 
On the Airbnb web-site, the bathrooms field has evolved from a number to a textual description. For older scrapes, bathrooms is used.",
bedrooms,integer,,The number of bedrooms,
